name,y1_points,y2_points,y3_points,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
Serge Ibaka,2184.0,3132.5,2466.0,41.2,42.3,32.4,53.0,74.0,76.0,4.0,0.0,0.0
Seth Curry,1638.0,1180.5,0.0,26.4,16.0,0.0,62.0,74.0,0.0,0.0,0.0,0.0
Shabazz Napier,1575.5,1236.0,1575.5,29.2,22.1,21.3,54.0,56.0,74.0,0.0,0.0,0.0
Shai Gilgeous-Alexander,3075.5,2438.5,0.0,45.2,29.7,0.0,68.0,82.0,0.0,2.0,0.0,0.0
Shake Milton,899.0,245.0,0.0,23.1,12.2,0.0,39.0,20.0,0.0,0.0,0.0,0.0
Shamorie Ponds,24.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Shaquille Harrison,672.5,1520.5,492.5,16.0,20.8,21.4,42.0,73.0,23.0,0.0,0.0,0.0
Skal Labissiere,698.0,204.0,1461.5,22.5,9.3,24.4,31.0,22.0,60.0,0.0,0.0,0.0
Solomon Hill,955.0,594.0,133.0,16.2,13.5,11.1,59.0,44.0,12.0,0.0,0.0,0.0
Spencer Dinwiddie,2983.5,2444.5,3034.0,48.1,35.9,37.9,62.0,68.0,80.0,0.0,0.0,0.0
Stanley Johnson,167.5,1124.5,1534.0,7.0,17.0,22.2,24.0,66.0,69.0,0.0,0.0,0.0
Stanton Kidd,-2.5,0.0,0.0,-0.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Stephen Curry,218.0,3982.0,3008.0,54.5,58.6,60.2,4.0,68.0,50.0,181.0,0.0,0.0
Sterling Brown,716.5,958.0,617.5,14.0,16.5,11.4,51.0,58.0,54.0,0.0,0.0,0.0
Steven Adams,2587.0,3739.5,3513.0,42.4,47.3,46.2,61.0,79.0,76.0,30.0,0.0,0.0
Svi Mykhailiuk,1088.5,297.5,0.0,19.4,7.1,0.0,56.0,42.0,0.0,0.0,0.0,0.0
T.J. McConnell,1823.5,1680.5,1863.0,26.0,22.4,24.5,70.0,75.0,76.0,0.0,0.0,0.0
T.J. Warren,2785.5,1655.0,2767.5,42.2,38.5,42.6,66.0,43.0,65.0,2.0,0.0,0.0
TJ Leaf,266.5,648.5,368.5,9.9,11.2,7.0,27.0,58.0,53.0,0.0,0.0,0.0
Tacko Fall,69.0,0.0,0.0,9.9,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Taj Gibson,1180.0,2276.5,2972.5,19.7,32.5,36.2,60.0,70.0,82.0,0.0,0.0,0.0
Talen Horton-Tucker,86.5,0.0,0.0,14.4,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Tariq Owens,11.5,0.0,0.0,3.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Taurean Prince,1730.5,1584.0,2663.0,27.9,28.8,32.5,62.0,55.0,82.0,1.0,0.0,0.0
Terance Mann,362.0,0.0,0.0,9.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
Terence Davis,1341.0,0.0,0.0,19.2,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
Terrance Ferguson,561.0,1132.5,452.0,10.4,15.5,7.4,54.0,73.0,61.0,0.0,0.0,0.0
Terrence Ross,1961.5,2482.5,518.0,28.8,30.6,21.6,68.0,81.0,24.0,1.0,0.0,0.0
Terry Rozier,2440.0,1977.0,2364.0,40.0,25.3,29.9,61.0,78.0,79.0,12.0,0.0,0.0
Thabo Sefolosha,376.5,580.0,887.5,9.4,11.6,23.4,40.0,50.0,38.0,0.0,0.0,0.0
Thaddeus Young,1741.5,3104.5,2875.5,28.1,38.3,35.5,62.0,81.0,81.0,2.0,0.0,0.0
Thanasis Antetokounmpo,151.0,0.0,0.0,7.6,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Theo Pinson,327.0,172.0,0.0,9.9,9.6,0.0,33.0,18.0,0.0,0.0,0.0,0.0
Thomas Bryant,1713.5,2323.5,66.5,38.9,32.3,4.4,44.0,72.0,15.0,27.0,0.0,0.0
Thon Maker,854.0,974.5,1124.0,14.7,15.2,15.2,58.0,64.0,74.0,0.0,0.0,0.0
Tim Frazier,374.5,1257.5,904.5,15.0,21.3,15.3,25.0,59.0,59.0,0.0,0.0,0.0
Tim Hardaway Jr.,2139.0,2212.5,2040.0,31.0,34.0,35.8,69.0,65.0,57.0,0.0,0.0,0.0
Timothe Luwawu-Cabarrot,742.5,522.5,584.0,15.8,10.4,11.2,47.0,50.0,52.0,0.0,0.0,0.0
Tobias Harris,3311.0,3824.5,3270.5,46.6,46.6,40.9,71.0,82.0,80.0,30.0,0.0,0.0
Tomas Satoransky,2088.5,2520.5,1851.0,33.2,31.5,25.4,63.0,80.0,73.0,1.0,0.0,0.0
Tony Bradley,1006.5,69.5,26.5,17.7,23.2,2.9,57.0,3.0,9.0,0.0,0.0,0.0
Tony Snell,1152.0,1085.0,1291.5,20.2,14.7,17.2,57.0,74.0,75.0,0.0,0.0,0.0
Torrey Craig,933.5,1339.5,505.0,16.7,17.9,12.9,56.0,75.0,39.0,0.0,0.0,0.0
Trae Young,4028.5,4067.5,0.0,68.3,50.2,0.0,59.0,81.0,0.0,90.0,0.0,0.0
Tremont Waters,101.5,0.0,0.0,9.2,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Treveon Graham,595.0,464.5,741.0,11.2,13.3,11.8,53.0,35.0,63.0,0.0,0.0,0.0
Trevor Ariza,1229.0,2377.5,1856.0,24.1,34.5,28.1,51.0,69.0,66.0,0.0,0.0,0.0
Trey Burke,633.0,1438.0,1209.0,19.2,24.8,33.6,33.0,58.0,36.0,0.0,0.0,0.0
Trey Lyles,1282.5,1265.5,1827.5,20.7,19.8,25.0,62.0,64.0,73.0,0.0,0.0,0.0
